hookKey,plainDescription
sky.seasonal-current,"Shows the current Sun season and adds the strongest sky context when it matters."
sky.lunar-cycle,"Shows the Moon's current sign, phase, and strongest active lunar influence."
sky.planetary-placement,"Explains what a current planet-in-sign placement may feel like in the sky today."
sky.aspect-detail,"Explains an active aspect between two current sky bodies with action and timing."
sky.aspect-sign-context,"Adds a short sign-context line when both planets in a sky aspect have known signs."
sky.retrograde,"Explains a planet's retrograde through that planet's topic instead of generic retrograde copy."
you.natal-placement,"Shows a natal planet-in-sign interpretation on the personal chart experience."
you.natal-aspect,"Shows a natal aspect interpretation for two planets or points in the birth chart."
you.transit-to-natal,"Shows a current transit contacting a natal planet or angle."
you.daily-timing,"Summarizes the strongest personal timing signal for the day."
friends.synastry-contact,"Shows how one person's planet or point contacts another person's planet or point."
friends.house-overlay,"Shows where one person's planet lands in another person's house."
friends.composite-aspect,"Shows an aspect inside the composite chart as a relationship pattern."
friends.composite-placement,"Shows a composite planet's sign or house as a shared relationship pattern."
friends.relationship-timing,"Shows current timing that affects a relationship or one person in the bond."
friends.circle-feed,"Shows a shared timing theme across multiple friends or relationships."
settings.life-area-focus,"Shows copy for life-area focus settings such as career, relationships, family, and money."
