surface,item_type,id,title,original_source_meaning,base_meaning_rewrite,observable_experience,shadow_pattern,best_move,business_lens,voice_notes,source_file
Sky,lunations/full-moon,full-moon-aquarius,Full Moon in Aquarius,"title: Full Moon in Aquarius tldr: A culmination and release point for the Aquarius / Leo axis. shadow: detachment disguised as enlightenment, rebellion without responsibility, or selling a version of yourself you do not believe in integration: changing the system without abandoning your own aliveness voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-aquarius.json
Sky,lunations/full-moon,full-moon-aries,Full Moon in Aries,"title: Full Moon in Aries tldr: A culmination and release point for the Aries / Libra axis. shadow: bulldozing without checking direction, reacting before listening, or confusing urgency with truth integration: commanding your life without making every room a battlefield voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-aries.json
Sky,lunations/full-moon,full-moon-cancer,Full Moon in Cancer,"title: Full Moon in Cancer tldr: A culmination and release point for the Cancer / Capricorn axis. shadow: caretaking as avoidance of your own needs, or protecting yourself until connection cannot reach you integration: creating safety that does not become isolation voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-cancer.json
Sky,lunations/full-moon,full-moon-capricorn,Full Moon in Capricorn,"title: Full Moon in Capricorn tldr: A culmination and release point for the Capricorn / Cancer axis. shadow: achievement at the cost of humanity, measuring worth only by output, or choosing success over softness integration: building something durable without abandoning the life it is meant to support voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-capricorn.json
Sky,lunations/full-moon,full-moon-gemini,Full Moon in Gemini,"title: Full Moon in Gemini tldr: A culmination and release point for the Gemini / Sagittarius axis. shadow: mental loops that prevent commitment, asking endless questions to avoid choosing integration: turning scattered information into a message that can move voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-gemini.json
Sky,lunations/full-moon,full-moon-leo,Full Moon in Leo,"title: Full Moon in Leo tldr: A culmination and release point for the Leo / Aquarius axis. shadow: needing applause to feel worthy, or editing your radiance to stay acceptable integration: letting yourself shine in a way that gives others permission to shine too voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-leo.json
Sky,lunations/full-moon,full-moon-libra,Full Moon in Libra,"title: Full Moon in Libra tldr: A culmination and release point for the Libra / Aries axis. shadow: keeping peace at the expense of yourself, over-accommodating, or calling avoidance harmony integration: creating balance that includes your needs too voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-libra.json
Sky,lunations/full-moon,full-moon-pisces,Full Moon in Pisces,"title: Full Moon in Pisces tldr: A culmination and release point for the Pisces / Virgo axis. shadow: escape disguised as surrender, porous boundaries, fantasy that avoids reality integration: letting flow have enough structure to become healing instead of drift voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-pisces.json
Sky,lunations/full-moon,full-moon-sagittarius,Full Moon in Sagittarius,"title: Full Moon in Sagittarius tldr: A culmination and release point for the Sagittarius / Gemini axis. shadow: philosophy without embodiment, certainty that stops listening, or escape dressed as freedom integration: living the wisdom you claim to believe voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-sagittarius.json
Sky,lunations/full-moon,full-moon-scorpio,Full Moon in Scorpio,"title: Full Moon in Scorpio tldr: A culmination and release point for the Scorpio / Taurus axis. shadow: control disguised as strength, testing people instead of telling the truth, or holding on until it hurts integration: letting what is expired complete so real intimacy has room voiceNeutral: true","This lunation marks a culmination and release around its sign axis. Treat it as collective sky weather, not a personal guarantee.","Something that has been building may become easier to name, begin, complete, or release.",Over-identifying with the mood of the lunation instead of noticing the specific choice it reveals.,Name the one thing that is beginning or ending.,"Use this as a timing checkpoint for reflection, review, and simple next-step planning.",Experience first. Astrology explains after. Do not write current sky as personality.,packages/astro-knowledge/data/lunations/full-moon/full-moon-scorpio.json
