surface,item_type,id,title,original_source_meaning,base_meaning_rewrite,observable_current_activation,pressure_point,best_move,reader_facing_summary,voice_notes,source_file
You,transits/natal,jupiter_ascendant_conjunction,Transiting Jupiter Conjunction Natal Ascendant,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of self-presentation, body, identity, and first response through a fusion aspect.","This may temporarily bring self-presentation, body, identity, and first response into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to self-presentation, body, identity, and first response may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_ascendant_conjunction.json
You,transits/natal,jupiter_ascendant_opposition,Transiting Jupiter Opposition Natal Ascendant,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of self-presentation, body, identity, and first response through a polarity aspect.","This may temporarily bring self-presentation, body, identity, and first response into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to self-presentation, body, identity, and first response may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_ascendant_opposition.json
You,transits/natal,jupiter_ascendant_sextile,Transiting Jupiter Sextile Natal Ascendant,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of self-presentation, body, identity, and first response through a opening aspect.","This may temporarily bring self-presentation, body, identity, and first response into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to self-presentation, body, identity, and first response may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_ascendant_sextile.json
You,transits/natal,jupiter_ascendant_square,Transiting Jupiter Square Natal Ascendant,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of self-presentation, body, identity, and first response through a friction aspect.","This may temporarily bring self-presentation, body, identity, and first response into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to self-presentation, body, identity, and first response may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_ascendant_square.json
You,transits/natal,jupiter_ascendant_trine,Transiting Jupiter Trine Natal Ascendant,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of self-presentation, body, identity, and first response through a flow aspect.","This may temporarily bring self-presentation, body, identity, and first response into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to self-presentation, body, identity, and first response may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_ascendant_trine.json
You,transits/natal,jupiter_jupiter_conjunction,Transiting Jupiter Conjunction Natal Jupiter,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of growth, belief, opportunity, and expansion through a fusion aspect.","This may temporarily bring growth, belief, opportunity, and expansion into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Acting from the intensity before identifying the separate parts.,Test the opportunity against reality before expanding it.,"Something connected to growth, belief, opportunity, and expansion may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_jupiter_conjunction.json
You,transits/natal,jupiter_jupiter_opposition,Transiting Jupiter Opposition Natal Jupiter,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of growth, belief, opportunity, and expansion through a polarity aspect.","This may temporarily bring growth, belief, opportunity, and expansion into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Turning tension into a standoff instead of a clearer understanding.,Test the opportunity against reality before expanding it.,"Something connected to growth, belief, opportunity, and expansion may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_jupiter_opposition.json
You,transits/natal,jupiter_jupiter_sextile,Transiting Jupiter Sextile Natal Jupiter,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of growth, belief, opportunity, and expansion through a opening aspect.","This may temporarily bring growth, belief, opportunity, and expansion into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Coasting on the good idea without turning it into anything concrete.,Test the opportunity against reality before expanding it.,"Something connected to growth, belief, opportunity, and expansion may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_jupiter_sextile.json
You,transits/natal,jupiter_jupiter_square,Transiting Jupiter Square Natal Jupiter,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of growth, belief, opportunity, and expansion through a friction aspect.","This may temporarily bring growth, belief, opportunity, and expansion into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Forcing a decision just to end the discomfort.,Test the opportunity against reality before expanding it.,"Something connected to growth, belief, opportunity, and expansion may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_jupiter_square.json
You,transits/natal,jupiter_jupiter_trine,Transiting Jupiter Trine Natal Jupiter,voiceNeutral: true,"A current movement of growth, belief, opportunity, and expansion contacts the natal pattern of growth, belief, opportunity, and expansion through a flow aspect.","This may temporarily bring growth, belief, opportunity, and expansion into focus through events, conversations, moods, decisions, or timing connected to growth, belief, opportunity, and expansion.",Letting the ease pass unused because nothing feels urgent.,Test the opportunity against reality before expanding it.,"Something connected to growth, belief, opportunity, and expansion may be easier to notice now because growth, belief, opportunity, and expansion is pressing on it. Treat this as timing, not fate.","Current sky to natal chart: timing signal, not fate. Explain what part of their chart is being temporarily activated.",packages/astro-knowledge/data/transits/natal/jupiter_jupiter_trine.json
