id,status,review_decision,reviewer_notes,displayTitle,summary,body,gift,shadow,integration,do,dont,lifeAreas,collectionHints,tags,intensity,planetA,aspect,planetB,voiceNeutral,source_file
jupiter-conjunction-neptune,DRAFT,,,Expansive And Inspired,Growth and belief merge imagination and longing. This concentrated pattern asks you to use optimism and compassion with awareness.,"Growth and belief merge imagination and longing. This concentrated pattern asks you to use optimism and compassion with awareness. Expansion meets imagination. Idealism and vision on a large scale. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, imagination and longing, and the choices you make when overreach or confusion starts running the room.","The gift is optimism, compassion, and a more conscious way to work with growth and belief and imagination and longing.","The shadow is overreach, confusion, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and imagination and longing cooperate without making either one carry the whole story. Inspired vision; test it against logic before committing.,Name how growth and belief and imagination and longing are both involved | Use the easy opening deliberately | Turn optimism and compassion into one concrete choice,Let overreach make the decision | Assume what feels natural is automatically balanced | Ignore the needs of growth and belief or imagination and longing,growth | spirituality | creativity,personal-growth,jupiter | neptune | conjunction | optimism | compassion,4,jupiter,conjunction,neptune,true,data/insights/natal-aspects/jupiter-conjunction-neptune.json
jupiter-conjunction-pluto,DRAFT,,,Expansive And Intense,Growth and belief merge power and transformation. This concentrated pattern asks you to use optimism and depth with awareness.,"Growth and belief merge power and transformation. This concentrated pattern asks you to use optimism and depth with awareness. Expansion meets power. Large-scale ambition, intense conviction, and a drive to overhaul inherited beliefs. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room.","The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation.","The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot.",Name how growth and belief and power and transformation are both involved | Use the easy opening deliberately | Turn optimism and depth into one concrete choice,Let overreach make the decision | Assume what feels natural is automatically balanced | Ignore the needs of growth and belief or power and transformation,growth | power,personal-growth | shadow-work,jupiter | pluto | conjunction | optimism | depth,5,jupiter,conjunction,pluto,true,data/insights/natal-aspects/jupiter-conjunction-pluto.json
jupiter-conjunction-saturn,DRAFT,,,Expansive And Steady,Growth and belief merge discipline and limits. This concentrated pattern asks you to use optimism and maturity with awareness.,"Growth and belief merge discipline and limits. This concentrated pattern asks you to use optimism and maturity with awareness. Expansion meets contraction. The swing between optimism and restraint, growth and discipline. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, discipline and limits, and the choices you make when overreach or fear starts running the room.","The gift is optimism, maturity, and a more conscious way to work with growth and belief and discipline and limits.","The shadow is overreach, fear, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and discipline and limits cooperate without making either one carry the whole story. Balancing risk against prudence; unmanaged, it reads as inconsistency.",Name how growth and belief and discipline and limits are both involved | Use the easy opening deliberately | Turn optimism and maturity into one concrete choice,Let overreach make the decision | Assume what feels natural is automatically balanced | Ignore the needs of growth and belief or discipline and limits,growth | work,personal-growth | career-patterns,jupiter | saturn | conjunction | optimism | maturity,4,jupiter,conjunction,saturn,true,data/insights/natal-aspects/jupiter-conjunction-saturn.json
jupiter-conjunction-uranus,DRAFT,,,Expansive And Original,Growth and belief merge freedom and disruption. This concentrated pattern asks you to use optimism and originality with awareness.,"Growth and belief merge freedom and disruption. This concentrated pattern asks you to use optimism and originality with awareness. Expansion meets disruption. Attraction to unconventional ideas and systems of thought. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, freedom and disruption, and the choices you make when overreach or instability starts running the room.","The gift is optimism, originality, and a more conscious way to work with growth and belief and freedom and disruption.","The shadow is overreach, instability, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and freedom and disruption cooperate without making either one carry the whole story. Innovative thinking whose reception depends heavily on how it's framed.,Name how growth and belief and freedom and disruption are both involved | Use the easy opening deliberately | Turn optimism and originality into one concrete choice,Let overreach make the decision | Assume what feels natural is automatically balanced | Ignore the needs of growth and belief or freedom and disruption,growth | friends,personal-growth,jupiter | uranus | conjunction | optimism | originality,4,jupiter,conjunction,uranus,true,data/insights/natal-aspects/jupiter-conjunction-uranus.json
jupiter-opposition-neptune,DRAFT,,,Expansive Across Inspired,Growth and belief mirror imagination and longing. This polarized pattern asks you to use optimism and compassion with awareness.,"Growth and belief mirror imagination and longing. This polarized pattern asks you to use optimism and compassion with awareness. Gullibility and wishful thinking mistaken for reality. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, imagination and longing, and the choices you make when overreach or confusion starts running the room.","The gift is optimism, compassion, and a more conscious way to work with growth and belief and imagination and longing.","The shadow is overreach, confusion, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and imagination and longing cooperate without making either one carry the whole story. Inspired vision; test it against logic before committing.,Name how growth and belief and imagination and longing are both involved | Pause before choosing the most familiar reaction | Turn optimism and compassion into one concrete choice,Let overreach make the decision | Treat tension as proof that something is wrong | Ignore the needs of growth and belief or imagination and longing,growth | spirituality | creativity,personal-growth | shadow-work,jupiter | neptune | opposition | optimism | compassion,4,jupiter,opposition,neptune,true,data/insights/natal-aspects/jupiter-opposition-neptune.json
jupiter-opposition-pluto,DRAFT,,,Expansive Across Intense,Growth and belief mirror power and transformation. This polarized pattern asks you to use optimism and depth with awareness.,"Growth and belief mirror power and transformation. This polarized pattern asks you to use optimism and depth with awareness. Conviction hardens into zealotry or overreach. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room.","The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation.","The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot.",Name how growth and belief and power and transformation are both involved | Pause before choosing the most familiar reaction | Turn optimism and depth into one concrete choice,Let overreach make the decision | Treat tension as proof that something is wrong | Ignore the needs of growth and belief or power and transformation,growth | power,personal-growth | shadow-work,jupiter | pluto | opposition | optimism | depth,5,jupiter,opposition,pluto,true,data/insights/natal-aspects/jupiter-opposition-pluto.json
jupiter-opposition-saturn,DRAFT,,,Expansive Across Steady,Growth and belief mirror discipline and limits. This polarized pattern asks you to use optimism and maturity with awareness.,"Growth and belief mirror discipline and limits. This polarized pattern asks you to use optimism and maturity with awareness. Lurching between extremes, from let-loose to grind, without a steady middle. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, discipline and limits, and the choices you make when overreach or fear starts running the room.","The gift is optimism, maturity, and a more conscious way to work with growth and belief and discipline and limits.","The shadow is overreach, fear, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and discipline and limits cooperate without making either one carry the whole story. Balancing risk against prudence; unmanaged, it reads as inconsistency.",Name how growth and belief and discipline and limits are both involved | Pause before choosing the most familiar reaction | Turn optimism and maturity into one concrete choice,Let overreach make the decision | Treat tension as proof that something is wrong | Ignore the needs of growth and belief or discipline and limits,growth | work,personal-growth | career-patterns | shadow-work,jupiter | saturn | opposition | optimism | maturity,4,jupiter,opposition,saturn,true,data/insights/natal-aspects/jupiter-opposition-saturn.json
jupiter-opposition-uranus,DRAFT,,,Expansive Across Original,Growth and belief mirror freedom and disruption. This polarized pattern asks you to use optimism and originality with awareness.,"Growth and belief mirror freedom and disruption. This polarized pattern asks you to use optimism and originality with awareness. Seen as eccentric or a crank, no matter the merit of the idea. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, freedom and disruption, and the choices you make when overreach or instability starts running the room.","The gift is optimism, originality, and a more conscious way to work with growth and belief and freedom and disruption.","The shadow is overreach, instability, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and freedom and disruption cooperate without making either one carry the whole story. Innovative thinking whose reception depends heavily on how it's framed.,Name how growth and belief and freedom and disruption are both involved | Pause before choosing the most familiar reaction | Turn optimism and originality into one concrete choice,Let overreach make the decision | Treat tension as proof that something is wrong | Ignore the needs of growth and belief or freedom and disruption,growth | friends,personal-growth | shadow-work,jupiter | uranus | opposition | optimism | originality,4,jupiter,opposition,uranus,true,data/insights/natal-aspects/jupiter-opposition-uranus.json
jupiter-sextile-neptune,DRAFT,,,Expansive With Inspired,Growth and belief support imagination and longing. This cooperative pattern asks you to use optimism and compassion with awareness.,"Growth and belief support imagination and longing. This cooperative pattern asks you to use optimism and compassion with awareness. Imaginative ideas that turn out to have practical application. The connection is available when you choose to use it; it works best through deliberate practice. In practice, this can show up through growth and belief, imagination and longing, and the choices you make when overreach or confusion starts running the room.","The gift is optimism, compassion, and a more conscious way to work with growth and belief and imagination and longing.","The shadow is overreach, confusion, and repeating the same pattern without noticing what it is trying to teach.",Let growth and belief and imagination and longing cooperate without making either one carry the whole story. Inspired vision; test it against logic before committing.,Name how growth and belief and imagination and longing are both involved | Use the easy opening deliberately | Turn optimism and compassion into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or imagination and longing,growth | spirituality | creativity,personal-growth,jupiter | neptune | sextile | optimism | compassion,3,jupiter,sextile,neptune,true,data/insights/natal-aspects/jupiter-sextile-neptune.json
jupiter-sextile-pluto,DRAFT,,,Expansive With Intense,Growth and belief support power and transformation. This cooperative pattern asks you to use optimism and depth with awareness.,"Growth and belief support power and transformation. This cooperative pattern asks you to use optimism and depth with awareness. Transformative ambition pursued with focus. The connection is available when you choose to use it; it works best through deliberate practice. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room.","The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation.","The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach.","Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot.",Name how growth and belief and power and transformation are both involved | Use the easy opening deliberately | Turn optimism and depth into one concrete choice,Let overreach make the decision | Take the talent for granted | Ignore the needs of growth and belief or power and transformation,growth | power,personal-growth | shadow-work,jupiter | pluto | sextile | optimism | depth,3,jupiter,sextile,pluto,true,data/insights/natal-aspects/jupiter-sextile-pluto.json
