key,contentKey,field,scope,body,sign,variable,grammarFrame,text,importAction,sourceStatus,reviewStatus,shareHost,heldBackText,notes,importReady,lintFindings
sky-placement/article/venus/aries#ingress.sources.planetDescriptor,sky-placement/article/venus/aries,ingress.sources.planetDescriptor,planet,venus,aries,{{planetDescriptor}},noun_phrase,"the planet of love, pleasure, and values",create,SAMPLE,needs_review,sky-placement/article/venus/aries,,"Planet fields live once on the Aries share host, then other signs of that planet link to it.",true,
sky-placement/article/venus/aries#ingress.sources.planetFunction,sky-placement/article/venus/aries,ingress.sources.planetFunction,planet,venus,aries,{{planetFunction}},noun_phrase,"love, pleasure, money, and what you believe you are worth",create,SAMPLE,needs_review,sky-placement/article/venus/aries,,Noun phrase after “describes.” No period.,true,
sky-placement/article/venus/aries#ingress.sources.planetProductive,sky-placement/article/venus/aries,ingress.sources.planetProductive,planet,venus,aries,{{planetProductive}},complete_sentences,Venus names what is worth keeping and makes room to enjoy it.,create,SAMPLE,needs_review,sky-placement/article/venus/aries,,Complete sentences are correct here.,true,
sky-placement/article/sun/aries#ingress.sources.signDescriptor,sky-placement/article/sun/aries,ingress.sources.signDescriptor,sign,sun,aries,{{signDescriptor}},noun_phrase,a cardinal fire sign,create,SAMPLE,needs_review,sky-placement/article/sun/aries,,"Sign fields live once on Sun in that sign, then other planets in the sign link to it.",true,
sky-placement/article/sun/aries#ingress.sources.signCoreDrive,sky-placement/article/sun/aries,ingress.sources.signCoreDrive,sign,sun,aries,{{signCoreDrive}},noun_phrase,the nerve to begin without waiting for permission,create,SAMPLE,needs_review,sky-placement/article/sun/aries,,Noun phrase after “pursues.”,true,
sky-placement/article/sun/aries#ingress.sources.signMethod,sky-placement/article/sun/aries,ingress.sources.signMethod,sign,sun,aries,{{signMethod}},noun_or_gerund_phrase,going first and starting before it feels ready,create,SAMPLE,needs_review,sky-placement/article/sun/aries,,Gerund or noun phrase after “through.”,true,
sky-placement/article/sun/aries#ingress.sources.signShadow,sky-placement/article/sun/aries,ingress.sources.signShadow,sign,sun,aries,{{signShadow}},noun_phrase,the habit of treating every delay as a personal attack,create,SAMPLE,needs_review,sky-placement/article/sun/aries,,Phrase only. Do not append You're allowed / You do not have to.,true,
fallback-hook/zodiac-season/aries#body,fallback-hook/zodiac-season/aries,body,sign,,aries,{{zodiacSeason}},complete_sentences,SAMPLE. Replace this cell with complete Aries season sentences in the current-sky register.,create,SAMPLE,needs_review,fallback-hook/zodiac-season/aries,,"Shared season copy uses fallback-hook keys, not writing-library keys. Blog-only openings stay out of this cell.",true,
fallback-hook/zodiac-season-polar-axis/aries#body,fallback-hook/zodiac-season-polar-axis/aries,body,sign,,aries,{{zodiacSeasonPolarAxis}},complete_sentences,SAMPLE. The owner title for this axis is Self vs. Other. Replace this cell with complete axis sentences.,create,SAMPLE,needs_review,fallback-hook/zodiac-season-polar-axis/aries,,Do not invent new axis titles in import.,true,
sky-placement/article/sun/aries#ingress.sources.placementDignityMechanism,sky-placement/article/sun/aries,ingress.sources.placementDignityMechanism,placement,sun,aries,{{placementDignityMechanism}},independent_clause_no_period,"the Sun needs a purpose to burn toward, and Aries does not wait for a committee",create,SAMPLE,needs_review,sky-placement/article/sun/aries,,"Follows “Here,”. No final period. Traditional dignity only.",true,
sky-placement/article/sun/aries#ingress.sources.placementDignityExpression,sky-placement/article/sun/aries,ingress.sources.placementDignityExpression,placement,sun,aries,{{placementDignityExpression}},verb_phrase,act on what you want before the doubt gets organized,create,SAMPLE,needs_review,sky-placement/article/sun/aries,,Verb phrase. No leading to. No period.,true,
sky-placement/article/sun/aries#ingress.sources.placementThesis,sky-placement/article/sun/aries,ingress.sources.placementThesis,placement,sun,aries,{{placementThesis}},complete_sentences,"SAMPLE. Replace with the distinctive Sun-in-Aries thesis, not the Sun's general function.",create,SAMPLE,needs_review,sky-placement/article/sun/aries,,Placement fields use the full sky-placement/article/{planet}/{sign} key.,true,
sky-placement/article/sun/aries#ingress.sources.openingHook,sky-placement/article/sun/aries,ingress.sources.openingHook,placement,sun,aries,{{openingHook}},complete_sentences,"SAMPLE. Lead with the lived pattern, not a planet keyword.",create,SAMPLE,needs_review,sky-placement/article/sun/aries,,Lead with the lived pattern.,true,
sky-placement/article/sun/aries#tldrWhat,sky-placement/article/sun/aries,tldrWhat,placement,sun,aries,{{tldrWhat}},complete_sentences,SAMPLE. Article What field for Sun in Aries.,create,SAMPLE,needs_review,sky-placement/article/sun/aries,,"Article section fields are record paths, not ingress.sources.",true,
sky-placement/article/uranus/taurus#ingress.sources.placementThesis,sky-placement/article/uranus/taurus,ingress.sources.placementThesis,placement,uranus,taurus,{{placementThesis}},complete_sentences,SAMPLE. Outer-planet thesis only. Leave dignity mechanism and expression empty.,create,SAMPLE,needs_review,sky-placement/article/uranus/taurus,,"No dignity mechanism or expression rows for Uranus, Neptune, Pluto, the nodes, Chiron, or Lilith.",true,
