surface,item_type,id,title,original_source_meaning,base_meaning_rewrite,observable_tendency,where_it_helps,where_it_can_become_difficult,closing_reflection,voice_notes,source_file
You,insights/natal-aspects,jupiter-conjunction-neptune,Natal Jupiter Conjunction Neptune,"displayTitle: Expansive And Inspired summary: Growth and belief merge imagination and longing. This concentrated pattern asks you to use optimism and compassion with awareness. body: Growth and belief merge imagination and longing. This concentrated pattern asks you to use optimism and compassion with awareness. Expansion meets imagination. Idealism and vision on a large scale. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, imagination and longing, and the choices you make when overreach or confusion starts running the room. gift: The gift is optimism, compassion, and a more conscious way to work with growth and belief and imagination and longing. shadow: The shadow is overreach, confusion, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and imagination and longing cooperate without making either one carry the whole story. Inspired vision; test it against logic before committing. do[0]: Name how growth and belief and imagination and longing are both involved do[1]: Use the easy opening deliberately do[2]: Turn optimism and compassion into one concrete choice dont[0]: Let overreach make the decision dont[1]: Assume what feels natural is automatically balanced dont[2]: Ignore the needs of growth and belief or imagination and longing voiceNeutral: true","This aspect creates a fusion between growth, belief, opportunity, and expansion and imagination, longing, vision, sensitivity, and uncertainty.","Growth, belief, opportunity, and expansion and imagination, longing, vision, sensitivity, and uncertainty may meet through fusion, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Acting from the intensity before identifying the separate parts.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-conjunction-neptune.json
You,insights/natal-aspects,jupiter-conjunction-pluto,Natal Jupiter Conjunction Pluto,"displayTitle: Expansive And Intense summary: Growth and belief merge power and transformation. This concentrated pattern asks you to use optimism and depth with awareness. body: Growth and belief merge power and transformation. This concentrated pattern asks you to use optimism and depth with awareness. Expansion meets power. Large-scale ambition, intense conviction, and a drive to overhaul inherited beliefs. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room. gift: The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation. shadow: The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot. do[0]: Name how growth and belief and power and transformation are both involved do[1]: Use the easy opening deliberately do[2]: Turn optimism and depth into one concrete choice dont[0]: Let overreach make the decision dont[1]: Assume what feels natural is automatically balanced dont[2]: Ignore the needs of growth and belief or power and transformation voiceNeutral: true","This aspect creates a fusion between growth, belief, opportunity, and expansion and depth, power, pressure, release, and transformation.","Growth, belief, opportunity, and expansion and depth, power, pressure, release, and transformation may meet through fusion, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Acting from the intensity before identifying the separate parts.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-conjunction-pluto.json
You,insights/natal-aspects,jupiter-conjunction-saturn,Natal Jupiter Conjunction Saturn,"displayTitle: Expansive And Steady summary: Growth and belief merge discipline and limits. This concentrated pattern asks you to use optimism and maturity with awareness. body: Growth and belief merge discipline and limits. This concentrated pattern asks you to use optimism and maturity with awareness. Expansion meets contraction. The swing between optimism and restraint, growth and discipline. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, discipline and limits, and the choices you make when overreach or fear starts running the room. gift: The gift is optimism, maturity, and a more conscious way to work with growth and belief and discipline and limits. shadow: The shadow is overreach, fear, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and discipline and limits cooperate without making either one carry the whole story. Balancing risk against prudence; unmanaged, it reads as inconsistency. do[0]: Name how growth and belief and discipline and limits are both involved do[1]: Use the easy opening deliberately do[2]: Turn optimism and maturity into one concrete choice dont[0]: Let overreach make the decision dont[1]: Assume what feels natural is automatically balanced dont[2]: Ignore the needs of growth and belief or discipline and limits voiceNeutral: true","This aspect creates a fusion between growth, belief, opportunity, and expansion and structure, limits, responsibility, time, and consequence.","Growth, belief, opportunity, and expansion and structure, limits, responsibility, time, and consequence may meet through fusion, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Acting from the intensity before identifying the separate parts.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-conjunction-saturn.json
You,insights/natal-aspects,jupiter-conjunction-uranus,Natal Jupiter Conjunction Uranus,"displayTitle: Expansive And Original summary: Growth and belief merge freedom and disruption. This concentrated pattern asks you to use optimism and originality with awareness. body: Growth and belief merge freedom and disruption. This concentrated pattern asks you to use optimism and originality with awareness. Expansion meets disruption. Attraction to unconventional ideas and systems of thought. These drives sit close together, so the pattern may feel natural, immediate, and hard to separate. In practice, this can show up through growth and belief, freedom and disruption, and the choices you make when overreach or instability starts running the room. gift: The gift is optimism, originality, and a more conscious way to work with growth and belief and freedom and disruption. shadow: The shadow is overreach, instability, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and freedom and disruption cooperate without making either one carry the whole story. Innovative thinking whose reception depends heavily on how it's framed. do[0]: Name how growth and belief and freedom and disruption are both involved do[1]: Use the easy opening deliberately do[2]: Turn optimism and originality into one concrete choice dont[0]: Let overreach make the decision dont[1]: Assume what feels natural is automatically balanced dont[2]: Ignore the needs of growth and belief or freedom and disruption voiceNeutral: true","This aspect creates a fusion between growth, belief, opportunity, and expansion and change, disruption, freedom, and originality.","Growth, belief, opportunity, and expansion and change, disruption, freedom, and originality may meet through fusion, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Acting from the intensity before identifying the separate parts.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-conjunction-uranus.json
You,insights/natal-aspects,jupiter-opposition-neptune,Natal Jupiter Opposition Neptune,"displayTitle: Expansive Across Inspired summary: Growth and belief mirror imagination and longing. This polarized pattern asks you to use optimism and compassion with awareness. body: Growth and belief mirror imagination and longing. This polarized pattern asks you to use optimism and compassion with awareness. Gullibility and wishful thinking mistaken for reality. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, imagination and longing, and the choices you make when overreach or confusion starts running the room. gift: The gift is optimism, compassion, and a more conscious way to work with growth and belief and imagination and longing. shadow: The shadow is overreach, confusion, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and imagination and longing cooperate without making either one carry the whole story. Inspired vision; test it against logic before committing. do[0]: Name how growth and belief and imagination and longing are both involved do[1]: Pause before choosing the most familiar reaction do[2]: Turn optimism and compassion into one concrete choice dont[0]: Let overreach make the decision dont[1]: Treat tension as proof that something is wrong dont[2]: Ignore the needs of growth and belief or imagination and longing voiceNeutral: true","This aspect creates a polarity between growth, belief, opportunity, and expansion and imagination, longing, vision, sensitivity, and uncertainty.","Growth, belief, opportunity, and expansion and imagination, longing, vision, sensitivity, and uncertainty may meet through polarity, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Turning tension into a standoff instead of a clearer understanding.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-opposition-neptune.json
You,insights/natal-aspects,jupiter-opposition-pluto,Natal Jupiter Opposition Pluto,"displayTitle: Expansive Across Intense summary: Growth and belief mirror power and transformation. This polarized pattern asks you to use optimism and depth with awareness. body: Growth and belief mirror power and transformation. This polarized pattern asks you to use optimism and depth with awareness. Conviction hardens into zealotry or overreach. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room. gift: The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation. shadow: The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot. do[0]: Name how growth and belief and power and transformation are both involved do[1]: Pause before choosing the most familiar reaction do[2]: Turn optimism and depth into one concrete choice dont[0]: Let overreach make the decision dont[1]: Treat tension as proof that something is wrong dont[2]: Ignore the needs of growth and belief or power and transformation voiceNeutral: true","This aspect creates a polarity between growth, belief, opportunity, and expansion and depth, power, pressure, release, and transformation.","Growth, belief, opportunity, and expansion and depth, power, pressure, release, and transformation may meet through polarity, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Turning tension into a standoff instead of a clearer understanding.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-opposition-pluto.json
You,insights/natal-aspects,jupiter-opposition-saturn,Natal Jupiter Opposition Saturn,"displayTitle: Expansive Across Steady summary: Growth and belief mirror discipline and limits. This polarized pattern asks you to use optimism and maturity with awareness. body: Growth and belief mirror discipline and limits. This polarized pattern asks you to use optimism and maturity with awareness. Lurching between extremes, from let-loose to grind, without a steady middle. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, discipline and limits, and the choices you make when overreach or fear starts running the room. gift: The gift is optimism, maturity, and a more conscious way to work with growth and belief and discipline and limits. shadow: The shadow is overreach, fear, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and discipline and limits cooperate without making either one carry the whole story. Balancing risk against prudence; unmanaged, it reads as inconsistency. do[0]: Name how growth and belief and discipline and limits are both involved do[1]: Pause before choosing the most familiar reaction do[2]: Turn optimism and maturity into one concrete choice dont[0]: Let overreach make the decision dont[1]: Treat tension as proof that something is wrong dont[2]: Ignore the needs of growth and belief or discipline and limits voiceNeutral: true","This aspect creates a polarity between growth, belief, opportunity, and expansion and structure, limits, responsibility, time, and consequence.","Growth, belief, opportunity, and expansion and structure, limits, responsibility, time, and consequence may meet through polarity, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Turning tension into a standoff instead of a clearer understanding.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-opposition-saturn.json
You,insights/natal-aspects,jupiter-opposition-uranus,Natal Jupiter Opposition Uranus,"displayTitle: Expansive Across Original summary: Growth and belief mirror freedom and disruption. This polarized pattern asks you to use optimism and originality with awareness. body: Growth and belief mirror freedom and disruption. This polarized pattern asks you to use optimism and originality with awareness. Seen as eccentric or a crank, no matter the merit of the idea. The two sides may appear through contrast, projection, or relationships until you learn to hold both directly. In practice, this can show up through growth and belief, freedom and disruption, and the choices you make when overreach or instability starts running the room. gift: The gift is optimism, originality, and a more conscious way to work with growth and belief and freedom and disruption. shadow: The shadow is overreach, instability, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and freedom and disruption cooperate without making either one carry the whole story. Innovative thinking whose reception depends heavily on how it's framed. do[0]: Name how growth and belief and freedom and disruption are both involved do[1]: Pause before choosing the most familiar reaction do[2]: Turn optimism and originality into one concrete choice dont[0]: Let overreach make the decision dont[1]: Treat tension as proof that something is wrong dont[2]: Ignore the needs of growth and belief or freedom and disruption voiceNeutral: true","This aspect creates a polarity between growth, belief, opportunity, and expansion and change, disruption, freedom, and originality.","Growth, belief, opportunity, and expansion and change, disruption, freedom, and originality may meet through polarity, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Turning tension into a standoff instead of a clearer understanding.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-opposition-uranus.json
You,insights/natal-aspects,jupiter-sextile-neptune,Natal Jupiter Sextile Neptune,"displayTitle: Expansive With Inspired summary: Growth and belief support imagination and longing. This cooperative pattern asks you to use optimism and compassion with awareness. body: Growth and belief support imagination and longing. This cooperative pattern asks you to use optimism and compassion with awareness. Imaginative ideas that turn out to have practical application. The connection is available when you choose to use it; it works best through deliberate practice. In practice, this can show up through growth and belief, imagination and longing, and the choices you make when overreach or confusion starts running the room. gift: The gift is optimism, compassion, and a more conscious way to work with growth and belief and imagination and longing. shadow: The shadow is overreach, confusion, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and imagination and longing cooperate without making either one carry the whole story. Inspired vision; test it against logic before committing. do[0]: Name how growth and belief and imagination and longing are both involved do[1]: Use the easy opening deliberately do[2]: Turn optimism and compassion into one concrete choice dont[0]: Let overreach make the decision dont[1]: Take the talent for granted dont[2]: Ignore the needs of growth and belief or imagination and longing voiceNeutral: true","This aspect creates a opening between growth, belief, opportunity, and expansion and imagination, longing, vision, sensitivity, and uncertainty.","Growth, belief, opportunity, and expansion and imagination, longing, vision, sensitivity, and uncertainty may meet through opening, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Coasting on the good idea without turning it into anything concrete.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-sextile-neptune.json
You,insights/natal-aspects,jupiter-sextile-pluto,Natal Jupiter Sextile Pluto,"displayTitle: Expansive With Intense summary: Growth and belief support power and transformation. This cooperative pattern asks you to use optimism and depth with awareness. body: Growth and belief support power and transformation. This cooperative pattern asks you to use optimism and depth with awareness. Transformative ambition pursued with focus. The connection is available when you choose to use it; it works best through deliberate practice. In practice, this can show up through growth and belief, power and transformation, and the choices you make when overreach or control starts running the room. gift: The gift is optimism, depth, and a more conscious way to work with growth and belief and power and transformation. shadow: The shadow is overreach, control, and repeating the same pattern without noticing what it is trying to teach. integration: Let growth and belief and power and transformation cooperate without making either one carry the whole story. Big, transformative ambition; the intensity can overshoot. do[0]: Name how growth and belief and power and transformation are both involved do[1]: Use the easy opening deliberately do[2]: Turn optimism and depth into one concrete choice dont[0]: Let overreach make the decision dont[1]: Take the talent for granted dont[2]: Ignore the needs of growth and belief or power and transformation voiceNeutral: true","This aspect creates a opening between growth, belief, opportunity, and expansion and depth, power, pressure, release, and transformation.","Growth, belief, opportunity, and expansion and depth, power, pressure, release, and transformation may meet through opening, making the pattern more noticeable in ordinary choices.",It can help by making the relationship between these two needs more available to conscious use.,Coasting on the good idea without turning it into anything concrete.,The work is learning when this aspect is offering information and when it is running the pattern for you.,"Describe tendencies, not fixed identity. Keep astrology traceable. Avoid prediction.",packages/astro-knowledge/data/insights/natal-aspects/jupiter-sextile-pluto.json
